Date,Time,Time_spent,Topic,Detail,Amap,Image
31 Dec 26,10.50 AM - 12.50 PM,2h,"เยี่ยมชมวัดขงจื๊อ และสำนักศึกษาหลวงโบราณ (กั๋วจื่อเจี้ยน)","ย้อนรอยประวัติศาสตร์การศึกษาชั้นสูงของจักรวรรดิจีน ชมศิลาจารึกทำเนียบจอหงวน ซุ้มประตูเกียรติยศ และต้นไซเปรสโบราณอายุกว่าร้อยปี",,images/itinerary/confucius-temple.jpg
31 Dec 26,12.50 PM - 01.00 PM,10m,เดินทางสู่ตรอกโบราณหนานหลัวกู่เซียง,,,
31 Dec 26,01.00 PM - 03.30 PM,2h 30m,สัมผัสเสน่ห์ตรอกหูทงโบราณและอาหารกลางวัน ณ หนานหลัวกู่เซียง,"เดินชมเสน่ห์วิถีชีวิตดั้งเดิมในตรอกหูทง พร้อมเลือกชิมสตรีทฟู้ดท้องถิ่นชื่อดัง ชานมชีส และเลือกซื้อของที่ระลึกงานฝีมือสไตล์ร่วมสมัย",https://surl.amap.com/lPkqKaC3ccS,images/itinerary/nanluoguxiang.jpg
31 Dec 26,03.30 PM - 04.00 PM,30m,เดินทางสู่ย่านศิลปะ 798,,,
31 Dec 26,04.00 PM - 06.30 PM,2h 30m,ชมความคิดสร้างสรรค์ร่วมสมัย ย่านศิลปะ 798 (798 Art Zone),"ชื่นชมงานสถาปัตยกรรมสไตล์เบาเฮาส์ที่ดัดแปลงจากโรงงานทหารโบราณสู่ศูนย์กลางศิลปะร่วมสมัยระดับนานาชาติ แกลเลอรี และคาเฟ่ดีไซน์ระดับรางวัล",https://surl.amap.com/hWmSdVwW8jq,images/itinerary/798-art-center.jpg
31 Dec 26,06.30 PM - 07.00 PM,30m,เดินทางสู่ย่านซานหลี่ถุน,,,
31 Dec 26,07.00 PM onwards,-,เฉลิมฉลองค่ำคืนส่งท้ายปีเก่า ณ ซานหลี่ถุน ไท่กู่หลี่,"เพลิดเพลินกับบรรยากาศเคานต์ดาวน์ส่งท้ายปีเก่าต้อนรับปีใหม่ใจกลางย่านบันเทิงและไลฟ์สไตล์ระดับพรีเมียมของปักกิ่ง",,images/itinerary/taikooli-sanlitun.jpg
1 Jan 27,08.00 AM - 08.40 AM,40m,รับประทานอาหารเช้า ณ โซโห ซานหลี่ถุน,"เติมความสดชื่นต้อนรับวันปีใหม่ด้วยอาหารเช้าคุณภาพ",,images/itinerary/breakfast-soho.jpg
1 Jan 27,08.40 AM - 09.10 AM,30m,เดินทางสู่พระราชวังฤดูร้อน,,,
1 Jan 27,09.10 AM - 01.10 PM,4h,ทัศนศึกษาอุทยานมรดกโลก พระราชวังฤดูร้อน (Summer Palace),"ชื่นชมความยิ่งใหญ่อลังการของอุทยานหลวงที่ได้รับการขึ้นทะเบียนมรดกโลก เดินเลียบทะเลสาบคุนหมิง สะพาน 17 ช่อง และเรือหินอ่อนอันวิจิตรบรรจง",https://surl.amap.com/4aBevfQ1reqr,images/itinerary/summer-palace.jpg
1 Jan 27,01.10 PM - 01.40 PM,30m,เดินทางสู่ซานหลี่ถุน,,,
1 Jan 27,01.40 PM - 02.40 PM,1h,รับประทานอาหารกลางวัน ณ ซานหลี่ถุน ไท่กู่หลี่,"อิสระรับประทานอาหารกลางวันจากร้านอาหารนานาชาติชั้นนำ",,images/itinerary/taikooli-sanlitun.jpg
1 Jan 27,02.40 PM - 03.00 PM,20m,เดินทางสู่ตลาดผ้าไหม ซิ่วสุ่ยเจีย,,,
1 Jan 27,03.00 PM - 06.40 PM,3h 40m,เพลิดเพลินกับการช้อปปิ้ง ณ ตลาดผ้าไหม ซิ่วสุ่ยเจีย (Silk Street Market),"ศูนย์รวมของฝากและสินค้าหัตถกรรมคุณภาพสูง อาทิ ผ้าไหมจีนแท้ ชาชั้นเลิศ สินค้าแฟชั่น และของที่ระลึกเอกลักษณ์ประจำชาติ",https://surl.amap.com/1LzAbWCBM8jn,images/itinerary/silk-street.jpg
1 Jan 27,06.40 PM - 07.00 PM,20m,เดินทางสู่ภัตตาคารสือจิ่ว,,,
1 Jan 27,07.00 PM - 08.30 PM,1h 30m,ลิ้มลองอาหารปักกิ่งร่วมสมัย ภัตตาคารสือจิ่ว (Poetry‧Wine),"สัมผัสสุนทรียศาสตร์แห่งรสชาติอาหารปักกิ่งไฟน์ไดน์นิ่งที่รังสรรค์อย่างประณีต ดั่งบทกวีจีนเคียงคู่ศาสตร์การคัดสรรไวน์ชั้นเลิศ",https://surl.amap.com/cEGdMLA10ZZ,images/itinerary/shijiu-xinjingcai.jpg
1 Jan 27,08.30 PM onwards,-,พักผ่อนตามอัธยาศัย,,,
2 Jan 27,08.10 AM - 08.50 AM,40m,รับประทานอาหารเช้า ณ โซโห ซานหลี่ถุน,"บริการอาหารเช้าเพื่อเตรียมพร้อมสำหรับการเดินทางสู่ชานเมือง",,images/itinerary/breakfast-soho.jpg
2 Jan 27,08.50 AM - 09.30 AM,40m,เดินทางสู่จุดนัดหมายการเดินทาง,,,
2 Jan 27,09.30 AM - 11.30 AM,2h,เดินทางสู่เมืองน้ำโบราณกู่เป่ยและกำแพงเมืองจีน,,,
2 Jan 27,11.30 AM - 08.00 PM,8h 30m,เยือนเมืองโบราณริมน้ำกู่เป่ย (Gubei Water Town),"สัมผัสบรรยากาศเมืองโบราณริมน้ำสไตล์เจียงหนานทางตอนเหนือ ชมสะพานหิน โรงย้อมผ้าโบราณ และทัศนียภาพอันตระการตาของการเปิดไฟประดับยามค่ำคืน",https://surl.amap.com/1UGR5Qa1c6Gq,images/itinerary/gubei-water-town.jpg
2 Jan 27,11.30 AM - 08.00 PM,8h 30m,พิชิตกำแพงเมืองจีน ด่านซือหม่าไถ (Simatai Great Wall),"ชมหนึ่งในสิ่งมหัศจรรย์ของโลกที่มีชื่อเสียงด้านความสูงชันและคงสภาพสถาปัตยกรรมดั้งเดิมของราชวงศ์หมิงไว้อย่างสมบูรณ์แบบที่สุด",https://surl.amap.com/l2YlwlEFeDi,images/itinerary/simatai-great-wall.jpg
2 Jan 27,08.00 PM - 10.00 PM,2h,เดินทางกลับสู่ใจกลางกรุงปักกิ่ง,,,
2 Jan 27,10.00 PM onwards,-,พักผ่อนตามอัธยาศัย,,,
3 Jan 27,07.30 AM - 08.00 AM,30m,เดินทางสู่จัตุรัสเทียนอันเหมิน,,,
3 Jan 27,08.00 AM - 12.30 PM,4h 30m,มหาปราการประวัติศาสตร์ พระราชวังต้องห้าม กู่กง และจัตุรัสเทียนอันเหมิน,"ชมศูนย์กลางอำนาจแห่งราชวงศ์หมิงและชิง ชมความโอ่อ่าของตำหนักทองคำ ท้องพระโรงหลวง และโบราณวัตถุล้ำค่าในหอสมบัติหลวง",https://surl.amap.com/34HP0eLn1v4JV,images/itinerary/forbidden-city.jpg
3 Jan 27,12.30 PM - 12.40 PM,10m,เดินทางสู่ถนนคนเดินเฉียนเหมิน,,,
3 Jan 27,12.40 PM - 02.40 PM,2h,สัมผัสบรรยากาศย้อนยุคและอาหารกลางวัน ณ ถนนคนเดินเฉียนเหมิน,"เดินทอดน่องบนถนนคนเดินสถาปัตยกรรมยุคสาธารณรัฐ ลิ้มลองอาหารว่างดั้งเดิม ขนมถังหูลู่ และเป็ดปักกิ่งภัตตาคารเก่าแก่",https://surl.amap.com/kIsOg8u8fW6,images/itinerary/qianmen-street.jpg
3 Jan 27,02.40 PM - 02.50 PM,10m,เดินทางสู่หอสวดมนต์เทียนถาน,,,
3 Jan 27,02.50 PM - 04.20 PM,1h 30m,สถาปัตยกรรมบวงสรวงสวรรค์ หอสักการะฟ้าเทียนถาน (Temple of Heaven),"ชมโบราณสถานศักดิ์สิทธิ์ทรงกลมสามชั้นที่สร้างขึ้นตามหลักโหราศาสตร์จีนโบราณ สถานที่ประกอบพิธีบวงสรวงขอความอุดมสมบูรณ์แก่แผ่นดิน",https://surl.amap.com/eIGNwtQ72MQ,images/itinerary/temple-of-heaven.jpg
3 Jan 27,04.20 PM - 04.40 PM,20m,เดินทางสู่ย่านฉงเหวินเหมิน,,,
3 Jan 27,04.40 PM - 06.10 PM,1h 30m,ช้อปปิ้งของฝากและสินค้าอุปโภคบริโภค ย่านฉงเหวินเหมิน,"แวะซื้อขนมขบเคี้ยวและของฝากราคาสุดคุ้ม ณ HotMaxx และร้านถั่วธัญพืชผลไม้อบแห้งเกรดส่งออก กั๋วลี่หยวน (Nut Fun Land Goliyuan)",https://surl.amap.com/aip0wSS1wdwG,images/itinerary/chongwenmen-shopping.jpg
3 Jan 27,06.10 PM - 08.10 PM,2h,อิ่มอร่อยกับบาร์บีคิวเนื้อแกะเสียบไม้ หลงไทม์อะโก มัตตัน ชาชลิก,"ลิ้มรสเนื้อแกะย่างเตาถ่านหมุนอัตโนมัติสูตรลับเฉพาะ หมักเครื่องเทศยี่หร่าหอมกรุ่น เนื้อนุ่มฉ่ำไร้กลิ่นสาบ การันตีความนิยมระดับแถวหน้า",https://surl.amap.com/hWJjKxk1u2g9,images/itinerary/long-time-ago-mutton.jpg
3 Jan 27,08.10 PM - 08.30 PM,20m,เดินทางกลับสู่ที่พัก,,,
3 Jan 27,08.30 PM onwards,-,พักผ่อนตามอัธยาศัย,,,
4 Jan 27,10.00 AM,-,เช็คเอาท์จากที่พัก,,,
4 Jan 27,10.00 AM - 02.50 PM,4h 50m,อิสระช้อปปิ้งและรับประทานอาหารกลางวันส่งท้ายทริป ณ ซานหลี่ถุน ไท่กู่หลี่,"ใช้เวลาว่างส่งท้ายทริป เลือกซื้อของฝากและรับประทานอาหารกลางวันตามอัธยาศัยในย่านแฟชั่น",,images/itinerary/taikooli-sanlitun.jpg
4 Jan 27,02.50 PM - 03.00 PM,10m,รับสัมภาระที่ฝากไว้,,,
4 Jan 27,03.00 PM - 04.20 PM,1h 20m,เดินทางสู่ท่าอากาศยานนานาชาติปักกิ่ง,,,
4 Jan 27,04.20 PM - 06.00 PM,1h 40m,เช็คอินสัมภาระและผ่านพิธีการตรวจคนออกเมือง,,,
4 Jan 27,06.00 PM - 11.25 PM,5h 25m,เดินทางกลับสู่ประเทศไทยโดยสวัสดิภาพ,,,
